"","mapped_fyear","total_DD","total_NegE","total_firms"
"1",1964,11,3,12
"2",1965,92,7,104
"3",1966,155,10,169
"4",1967,182,11,212
"5",1968,212,14,263
"6",1969,266,21,342
"7",1970,463,62,613
"8",1971,1302,205,1712
"9",1972,1349,217,1876
"10",1973,1478,158,2112
"11",1974,2034,221,2979
"12",1975,2303,302,3280
"13",1976,2432,421,3506
"14",1977,2522,328,3476
"15",1978,2546,299,3362
"16",1979,2522,288,3356
"17",1980,2441,354,3370
"18",1981,2342,473,3398
"19",1982,2234,660,3549
"20",1983,2162,950,3670
"21",1984,2093,1021,3819
"22",1985,2017,1060,3982
"23",1986,1924,1274,3972
"24",1987,1868,1418,4116
"25",1988,1831,1458,4333
"26",1989,1975,1504,4516
"27",1990,2109,1661,4802
"28",1991,2096,1662,4840
"29",1992,2188,1738,5052
"30",1993,2311,1738,5359
"31",1994,2499,1898,5923
"32",1995,2469,1863,6126
"33",1996,2572,2104,6522
"34",1997,2610,2254,6771
"35",1998,2554,2306,6675
"36",1999,2404,2322,6260
"37",2000,2336,2458,6060
"38",2001,2057,2364,5580
"39",2002,1772,2393,5075
"40",2003,1645,1887,4661
"41",2004,1783,1631,4573
"42",2005,2394,1432,5180
"43",2006,2355,1418,5114
"44",2007,2249,1409,5011
"45",2008,2153,1543,4852
"46",2009,2000,1830,4539
"47",2010,1882,1791,4398
"48",2011,1897,1303,4279
"49",2012,1926,1231,4190
"50",2013,2018,1247,4126
"51",2014,2069,1389,4259
"52",2015,2125,1478,4350
"53",2016,2061,1594,4236
"54",2017,2008,1587,4199
"55",2018,2016,1601,4203
"56",2019,2015,1594,4210
"57",2020,1952,1694,4164
"58",2021,1973,2212,4481
"59",2022,1955,2150,4794
"60",2023,1856,2125,4457
"61",2024,65,92,194
